episode,cut_point,e2e_ms,map50,reward,epsilon,ratios,bits
145,2,9254.2,0.371,0.4882,0.0692,0.4563;0.2716,9;7
146,2,5420.4,0.3708,0.5712,0.0685,0.4795;0.3710,10;8
147,2,5581.8,0.3746,0.4964,0.0678,0.2479;0.4784,7;10
148,2,5420.3,0.3696,0.5851,0.0671,0.3759;0.5018,9;10
149,2,5392.6,0.3742,0.608,0.0664,0.4800;0.4073,10;9
150,2,9106.8,0.3696,0.4758,0.0658,0.4642;0.2515,10;7
151,8,4686.3,0.3676,0.5203,0.0651,0.4287;0.3351;0.5271;0.3547;0.5283;0.4512;0.4532;0.5151,9;8;10;8;10;9;9;10
152,2,5054.1,0.3708,0.5681,0.0645,0.4950;0.3508,10;8
153,2,5532.2,0.3728,0.6785,0.0638,0.5438;0.4525,11;9
154,2,5062.6,0.3708,0.5938,0.0632,0.5196;0.3638,10;8
155,2,5368.9,0.3639,0.2751,0.0625,0.1431;0.2919,6;8
156,2,5433.5,0.3747,0.6731,0.0619,0.4922;0.4857,10;10
157,2,5446.5,0.3704,0.7705,0.0613,0.6949;0.4498,12;9
158,2,5338.7,0.3694,0.6849,0.0607,0.4149;0.6114,9;11
159,2,5598.9,0.378,0.7466,0.0601,0.5846;0.4782,11;10
160,2,5120.3,0.3708,0.5846,0.0595,0.5170;0.3529,10;8
161,2,5225.0,0.37,0.5273,0.0589,0.2306;0.5611,7;11
162,2,5493.9,0.3726,0.5902,0.0583,0.3646;0.5058,8;10
163,2,5411.9,0.3734,0.7532,0.0577,0.4821;0.6190,10;11
164,2,5247.6,0.3719,0.6453,0.0571,0.3091;0.6457,8;12
165,2,5295.3,0.3745,0.7825,0.0566,0.6613;0.4739,12;10
166,2,5418.9,0.3715,0.4764,0.056,0.2943;0.4156,8;9
167,2,5426.3,0.373,0.5572,0.0554,0.4337;0.3862,9;9
168,2,5463.5,0.3696,0.5801,0.0549,0.4089;0.4612,9;10
169,2,5544.9,0.3704,0.7171,0.0543,0.6470;0.4194,12;9
170,13,4628.9,0.3736,0.4287,0.0538,0.2358;0.5125;0.2951;0.6512;0.4571;0.1279;0.5001;0.3148;0.4624;0.5615;0.3617;0.5157;0.2991,7;10;8;12;9;6;10;8;10;11;8;10;8
171,2,5662.8,0.373,0.564,0.0533,0.4398;0.3898,9;9
172,2,5059.7,0.3708,0.5501,0.0527,0.4633;0.3563,10;8
173,2,5518.6,0.372,0.596,0.0522,0.3166;0.5653,8;11
174,2,5476.7,0.3747,0.6918,0.0517,0.4840;0.5208,10;10
175,2,5449.9,0.3726,0.5962,0.0512,0.3593;0.5198,8;10
176,7,5125.0,0.3726,0.5184,0.0506,0.3331;0.5198;0.3329;0.6334;0.4290;0.4008;0.3134,8;10;8;12;9;9;8
177,2,5171.5,0.3739,0.7877,0.0501,0.4906;0.6573,10;12
178,7,4795.5,0.3708,0.4775,0.05,0.4390;0.3602;0.5468;0.2267;0.2967;0.4234;0.4582,9;8;11;7;8;9;9
179,2,5438.7,0.3742,0.6273,0.05,0.4699;0.4452,10;9
180,2,4976.6,0.3743,0.4671,0.05,0.3422;0.3426,8;8
181,2,5613.6,0.3685,0.4752,0.05,0.1872;0.5339,6;10
182,2,4990.3,0.3743,0.4557,0.05,0.3423;0.3260,8;8
183,2,5356.4,0.3734,0.7073,0.05,0.4619;0.5729,10;11
184,2,5428.1,0.3747,0.6832,0.05,0.5095;0.4828,10;10
185,2,5500.2,0.37,0.5236,0.05,0.4525;0.3319,9;8
186,2,5093.5,0.37,0.4526,0.05,0.3786;0.3015,9;8
187,2,5464.9,0.3742,0.6582,0.05,0.5138;0.4456,10;9
188,2,5118.5,0.3642,0.374,0.05,0.2661;0.3182,7;8
189,2,5478.2,0.3691,0.7067,0.05,0.4270;0.6335,9;12
190,2,5606.6,0.3715,0.54,0.05,0.3672;0.4352,8;9
191,2,5440.2,0.3696,0.629,0.05,0.4508;0.4913,9;10
192,2,5075.7,0.37,0.5198,0.05,0.4222;0.3569,9;8
193,2,5566.9,0.3747,0.6747,0.05,0.5008;0.4793,10;10
194,2,5745.1,0.3742,0.6051,0.05,0.4790;0.4041,10;9
195,2,5379.1,0.3694,0.6225,0.05,0.3855;0.5486,9;11
196,2,5108.1,0.3639,0.3603,0.05,0.2015;0.3632,6;8
